WORDS,FREQ
06,18.0
07,66.0
10,6.0
2007,12.0
2016,24.0
2018,36.0
2019,24.0
2020,36.0
2021,12.0
3,18.0
46,5.0
7,12.0
72,1.0
78th,6.0
9,6.0
91,6.0
94,12.0
9682589676,12.0
97,6.0
abhay,288.0
abhaykaul0101,192.0
ability,14.0
academic,10.0
accomplishment,2.0
achievement,96.0
acquire,2.0
across,10.0
activity,4.0
actor,4.0
actuarial,4.0
actuary,4.0
admission,90.0
advance,2.0
advantage,2.0
affective,2.0
agent,90.0
algorithm,4.0
algorithmic,4.0
allow,10.0
already,2.0
also,32.0
always,6.0
ambassador,90.0
among,4.0
analysis,196.0
analyst,90.0
analytical,4.0
anatomy,2.0
annual,96.0
anomaly,2.0
apart,2.0
applicant,90.0
application,106.0
apply,6.0
appoint,90.0
appointment,6.0
appropriate,2.0
approve,90.0
apps,16.0
april,2.0
art,2.0
article,4.0
artistry,4.0
ask,4.0
aspect,180.0
asset,4.0
assistant,2.0
attend,2.0
attention,6.0
august,2.0
available,4.0
aware,2.0
b,96.0
bachelor,4.0
back,6.0
band,4.0
bank,30.0
banking,90.0
barclays,180.0
barrault,2.0
base,96.0
basic,2.0
become,4.0
beginning,2.0
belief,4.0
believe,10.0
benefit,2.0
best,16.0
beyond,4.0
bi,180.0
big,100.0
bigdata,90.0
blog,4.0
bootstrap,6.0
branch,90.0
broad,4.0
build,4.0
bullet,2.0
business,90.0
c,98.0
call,6.0
camille,4.0
camp,4.0
campus,90.0
car,2.0
career,16.0
case,8.0
center,2.0
cgpa,186.0
ch,2.0
challenge,4.0
challenging,4.0
chance,94.0
charge,18.0
chief,12.0
choose,2.0
citizenship,90.0
city,94.0
clarification,2.0
class,110.0
classifier,180.0
classroom,8.0
client,4.0
clinical,2.0
closely,4.0
cluster,2.0
cnn,4.0
cod,90.0
coder,96.0
coding,96.0
college,288.0
com,390.0
combine,10.0
committee,2.0
community,96.0
company,366.0
compete,96.0
competition,2.0
competitive,4.0
competitiveness,4.0
complete,4.0
computer,14.0
computing,2.0
conception,4.0
concise,2.0
confident,1.0
confront,2.0
consensus,4.0
consider,16.0
consistently,4.0
constant,4.0
contact,6.0
contain,2.0
content,4.0
continent,4.0
convince,4.0
cope,4.0
core,6.0
corporate,6.0
could,4.0
country,90.0
course,20.0
cover,26.0
covet,2.0
coveted,2.0
craft,4.0
crave,2.0
create,4.0
creation,4.0
credential,4.0
critical,2.0
crowfunding,2.0
crucial,4.0
cs,12.0
culture,2.0
curious,2.0
currently,4.0
customer,2.0
customize,2.0
cut,2.0
data,916.0
database,192.0
dauphine,4.0
day,6.0
dbldn,2.0
dbms,96.0
de,2.0
dear,12.0
decide,6.0
decine,2.0
decision,90.0
dedicate,94.0
dedication,10.0
deep,12.0
deepen,2.0
define,4.0
degree,6.0
deliver,6.0
delivering,4.0
demonstrate,6.0
department,102.0
depict,12.0
derivative,8.0
description,2.0
desired,90.0
detection,2.0
deutsche,30.0
develop,8.0
developer,32.0
development,210.0
different,14.0
difficulty,2.0
digital,2.0
dipl,2.0
director,96.0
discover,2.0
discussion,8.0
disposal,4.0
diversity,4.0
division,4.0
dl,2.0
do,8.0
doctor,6.0
doctorate,2.0
document,2.0
docx,2.0
doubt,2.0
downloaded,16.0
draw,4.0
duality,4.0
duty,2.0
e,8.0
earlier,4.0
early,2.0
economic,2.0
ecosystem,5.0
edge,2.0
education,96.0
eduventures,96.0
effort,2.0
email,4.0
embryology,2.0
eminent,6.0
emotion,4.0
employment,2.0
end,18.0
engage,4.0
